"CO_UF_RESIDENCIA","SG_UF_RESIDENCIA","NU_IDADE","TP_SEXO","TP_NACIONALIDADE","TP_ST_CONCLUSAO","TP_ANO_CONCLUIU","TP_ESCOLA","IN_TREINEIRO","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DISLEXIA","IN_DISCALCULIA","IN_SABATISTA","IN_GESTANTE","IN_IDOSO","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","CO_PROVA_CN","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","TP_STATUS_REDACAO","NU_NOTA_COMP1","NU_NOTA_COMP2","NU_NOTA_COMP3","NU_NOTA_COMP4","NU_NOTA_COMP5","NU_NOTA_REDACAO","Q001","Q002","Q006","Q024","Q025","Q026","Q027","Q047","regioes","idade2"
41,18,17,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,7,4,478.4,579.6,509,1,120,100,80,120,40,460,5,7,10,2,2,1,1,1,5,34
31,11,26,2,1,1,8,1,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,459.8,551.3,505.2,1,160,140,140,120,180,740,6,5,10,3,2,3,7,4,4,52
42,24,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,435.8,505.8,534.4,1,100,120,80,100,100,500,5,5,7,1,2,3,3,1,5,34
23,6,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,480.1,399.4,481.7,1,120,80,80,120,40,440,8,3,1,1,1,1,1,1,2,36
33,19,22,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,565.4,600.8,625.4,1,160,160,120,120,160,720,8,8,7,2,2,2,10,1,4,44
26,16,21,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,477.1,561.7,522.8,1,120,120,120,120,100,580,1,2,2,1,1,1,1,1,2,42
33,19,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,462.1,574.2,511.2,1,160,160,160,160,160,800,8,3,3,1,2,1,1,1,4,36
52,9,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,403.5,600.2,587.4,1,160,180,200,180,160,880,3,5,4,2,2,1,1,1,1,36
32,8,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,395.6,436.1,510.3,1,120,120,120,80,0,440,4,3,3,2,2,1,1,1,4,36
23,6,18,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,495.1,373.9,476.8,1,100,120,80,80,40,420,2,3,2,1,1,1,1,1,2,36
21,10,22,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,418.7,419.8,471.7,1,140,100,120,120,120,600,2,1,2,1,1,2,3,1,2,44
13,3,32,1,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,436,489.6,512.5,1,120,120,80,120,40,480,2,2,2,1,1,2,11,1,3,64
26,16,19,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,8,430.2,557.4,567,1,140,120,120,140,120,640,7,5,3,2,2,1,1,1,2,38
26,16,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8,2,554.4,585.2,563.9,1,120,120,120,120,60,540,6,5,9,4,2,1,1,1,2,32
31,11,18,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,581.8,583.3,613,1,140,160,160,140,160,760,5,3,4,2,2,1,1,1,4,36
42,24,17,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,1,1,7,2,9,396.1,522.2,471.8,1,120,100,80,100,40,440,5,5,3,2,2,3,4,1,5,34
31,11,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,8,2,489,488.4,497.6,1,100,100,100,80,40,420,5,5,2,1,1,3,5,1,4,36
52,9,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,618.8,637.4,540.5,1,160,180,160,160,160,820,3,3,5,2,2,1,1,1,1,34
13,3,31,2,1,1,10,1,0,0,0,0,0,0,1,0,0,1,1,1,2,7,4,511,462.6,552.7,1,120,100,80,100,80,480,5,5,4,1,2,2,6,1,3,62
23,6,16,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,564.2,576.6,588.7,1,140,120,120,140,120,640,8,8,3,1,1,1,1,1,2,32
31,11,21,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,463.1,570.4,467.3,1,120,120,120,120,100,580,1,3,3,2,2,3,7,1,4,42
29,5,17,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,1,8,389.5,469.5,441.1,1,100,80,80,80,60,400,2,3,2,2,2,1,1,1,2,34
25,15,16,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,500,550.2,541.4,1,140,140,120,120,120,640,4,4,6,2,2,1,1,4,2,32
15,14,20,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,442.8,585.5,508.4,1,100,120,100,100,100,520,4,5,3,1,1,1,1,1,3,40
26,16,24,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,402.2,511.1,512.1,1,120,120,120,120,120,600,5,5,3,1,2,3,6,1,2,48
35,26,28,1,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,447,551.8,537.5,1,120,100,100,120,40,480,1,3,5,2,2,3,7,1,4,56
29,5,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,7,4,397.8,408.9,383.3,1,120,120,120,100,80,540,4,4,3,1,2,1,1,1,2,32
35,26,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,1,8,370.4,498.1,554,1,120,60,80,120,80,460,3,5,3,2,2,1,1,1,4,36
42,24,15,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,2,9,544,564.4,533.7,1,160,120,140,140,180,740,2,4,7,2,2,1,1,1,5,30
22,17,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,7,4,433.9,446.2,528.5,1,120,120,80,80,80,480,5,2,3,2,2,1,1,1,2,32
24,20,31,1,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,422.7,436.2,480,1,120,80,80,80,40,400,1,1,1,2,2,1,1,1,2,62
31,11,27,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,6,5,6,441.6,608,520.8,1,120,100,100,120,120,560,3,5,3,1,2,3,1,1,4,54
23,6,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,2,9,497.9,553.7,544.7,1,120,100,80,120,80,500,8,8,3,1,1,1,1,1,2,32
25,15,17,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,6,7,416.2,447.2,474.6,1,100,40,60,40,0,240,3,2,2,1,2,1,1,1,2,34
35,26,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,435.5,652.2,631.1,1,160,120,120,120,40,560,2,4,4,2,2,1,1,1,4,34
52,9,21,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,397.5,450.7,534.5,1,120,120,100,120,80,540,5,5,3,1,1,3,5,1,1,42
41,18,39,1,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,415.8,463.9,446.3,1,100,60,60,80,20,320,4,4,6,2,2,2,7,1,5,78
26,16,15,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,6,7,419.9,490.2,533.8,1,140,120,120,140,80,600,6,7,9,2,2,1,1,1,2,30
35,26,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,7,4,524.3,581.3,590,1,160,120,140,160,120,700,6,6,15,2,2,1,1,4,4,32
27,2,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,427.8,451.6,517.4,1,120,120,120,120,100,580,2,3,3,2,2,1,1,1,2,34
35,26,17,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,5,2,9,451.7,546.1,514.2,1,120,120,120,120,40,520,2,5,6,2,2,1,1,1,4,34
43,23,21,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,472.1,555.7,389.7,4,0,0,0,0,0,0,8,8,4,1,1,2,5,1,5,42
16,4,22,1,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,457.3,524.1,593.3,1,120,120,140,120,80,580,5,7,6,3,2,2,7,2,3,44
25,15,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,483.7,503.3,477.6,1,120,120,120,120,80,560,2,1,2,1,2,1,1,1,2,36
29,5,34,1,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,487.2,564.7,597.4,4,0,0,0,0,0,0,5,2,3,2,2,2,12,1,2,68
31,11,19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,386.3,482.4,522.2,1,120,80,80,80,40,400,5,3,6,3,2,1,1,1,4,38
21,10,16,1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,5,1,8,394.6,506.4,375.2,1,140,80,100,80,40,440,8,8,2,1,1,1,1,1,2,32
24,20,29,2,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,693.3,716.3,697.1,1,200,200,200,200,180,980,7,3,15,3,2,3,12,4,2,58
12,1,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,384.9,495.2,368.8,1,100,80,100,100,20,400,8,5,3,2,2,1,1,1,3,34
24,20,18,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,455.3,574,586.2,1,160,140,120,180,160,760,4,5,6,2,2,1,1,1,2,36
41,18,18,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,560.6,578.2,538.6,1,120,120,140,140,120,640,5,5,4,2,2,2,4,1,5,36
21,10,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,539.2,537.9,531.7,1,100,80,80,80,60,400,4,5,2,1,1,1,1,1,2,34
32,8,16,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,478.5,462,513.5,1,120,120,120,120,80,560,5,5,2,1,2,1,1,1,4,32
23,6,18,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,2,9,417.8,370.9,468,1,80,80,80,80,60,380,4,4,2,1,1,1,1,1,2,36
35,26,19,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,583.3,633.2,592.5,1,100,80,80,100,80,440,8,5,3,1,2,2,4,1,4,38
26,16,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,422.9,465.7,451,1,80,80,80,80,0,320,5,3,2,3,2,1,1,1,2,34
32,8,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,451.5,569.2,525.8,1,120,160,120,120,120,640,4,3,5,2,2,1,1,1,4,34
42,24,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,427.8,455.2,497.7,1,120,100,100,100,0,420,4,4,3,2,2,2,4,1,5,36
52,9,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,417.6,507.1,508.7,1,120,120,100,140,160,640,6,7,13,3,2,1,1,1,1,36
52,9,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,554.2,532.3,532.2,1,120,120,120,120,60,540,5,4,5,1,1,3,5,1,1,36
26,16,51,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,8,451.5,422.8,414.6,1,80,60,40,80,40,300,3,1,3,2,2,3,5,1,2,102
43,23,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,423,500.3,471.4,1,100,80,100,80,80,440,8,2,3,1,2,3,6,1,5,36
33,19,30,2,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,414.7,369.3,472,1,100,80,60,80,20,340,6,5,3,1,2,3,2,1,4,60
32,8,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,588.6,611.2,590.7,1,160,160,180,160,160,820,5,5,5,2,2,1,1,1,4,34
23,6,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,523.6,613.2,555.4,1,160,160,180,160,100,760,3,3,3,2,1,1,1,1,2,34
31,11,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,411.4,390.7,526.1,1,120,120,80,80,40,440,3,4,2,1,1,1,1,1,4,36
41,18,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,6,7,479.5,602.4,592.7,1,140,120,120,120,80,580,5,4,3,1,1,1,1,1,5,32
27,2,21,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,458.9,515.6,532,1,120,100,120,100,100,540,3,2,2,1,1,1,1,1,2,42
23,6,20,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,480.2,499.6,476.6,1,100,80,80,100,20,380,3,4,2,1,1,1,1,1,2,40
43,23,35,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,436.4,565.2,491.5,1,100,120,80,80,80,460,2,3,3,1,1,3,9,1,5,70
35,26,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,445.7,591.2,513.7,1,120,140,120,120,20,520,4,5,6,2,2,2,3,1,4,34
23,6,15,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,1,8,453.2,593.1,511.1,1,100,100,100,120,100,520,2,2,2,1,1,1,1,1,2,30
41,18,19,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,438.5,536,574.1,1,120,140,120,100,80,560,3,3,4,2,2,2,5,1,5,38
31,11,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,7,4,409.2,523.1,558.8,1,100,80,80,80,40,380,5,5,7,3,2,1,1,1,4,32
29,5,19,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,399.8,521.1,434,1,120,120,100,100,80,520,1,5,2,1,1,1,1,1,2,38
26,16,20,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,494.3,555.8,562.9,1,160,160,160,160,80,720,5,5,4,1,2,2,6,1,2,40
42,24,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,483.6,589.9,538.7,1,140,100,120,120,100,580,3,2,9,2,2,3,4,1,5,34
26,16,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,7,4,429.3,553.5,382.6,1,120,120,80,80,120,520,1,3,2,1,1,1,1,1,2,32
27,2,23,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,400.1,429.7,416.5,1,120,100,80,80,120,500,2,2,2,2,2,2,5,1,2,46
52,9,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,463.4,556.5,552.3,1,120,120,100,120,100,560,4,4,3,1,1,3,3,1,1,34
42,24,16,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,558.3,659.7,592.4,1,120,120,120,120,40,520,7,5,7,2,2,1,1,1,5,32
15,14,30,1,1,1,9,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,442.8,526.9,446.5,1,120,80,80,120,20,420,2,2,1,1,1,1,1,1,3,60
35,26,25,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,467,541.5,561.6,1,120,120,120,140,60,560,4,5,3,3,2,2,6,3,4,50
29,5,16,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,430.1,490,415.3,1,100,120,100,80,60,460,2,2,1,1,1,1,1,1,2,32
31,11,20,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,480.4,531.9,484.3,1,120,120,120,120,80,560,4,4,4,2,2,1,1,1,4,40
22,17,15,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,7,4,495,576.5,586.6,1,120,120,120,140,120,620,5,6,15,3,2,1,1,4,2,30
23,6,18,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,395.2,373.1,496.2,1,80,80,60,80,40,340,8,8,2,1,1,1,1,1,2,36
26,16,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,6,7,445.6,562.1,493.6,1,80,80,60,80,20,320,2,8,3,1,2,1,1,5,2,32
35,26,25,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,394.4,405.2,438.4,1,80,80,120,80,40,400,3,8,2,1,2,2,7,1,4,50
35,26,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,2,9,448.1,437.1,474.2,1,140,80,80,120,40,460,8,5,5,2,2,1,1,1,4,36
23,6,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,366,581,435.5,1,120,120,100,120,120,580,2,4,2,1,1,1,1,1,2,34
15,14,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,500,526.2,566.9,1,120,100,80,120,40,460,5,5,2,1,1,1,1,1,3,36
35,26,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,6,7,407.3,505.9,449.2,1,100,60,60,120,120,460,8,8,4,2,2,2,2,1,4,32
15,14,22,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,487.8,434.4,395.2,1,100,100,100,100,40,440,8,2,2,1,1,3,6,1,3,44
42,24,16,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,512.2,569.6,439.2,1,120,120,80,80,80,480,4,6,5,2,2,2,4,1,5,32
42,24,28,2,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,460,617.2,587.5,1,120,160,160,160,120,720,5,5,4,2,2,3,5,1,5,56
21,10,18,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,6,7,453.3,498.5,431.3,1,80,80,80,80,40,360,4,4,2,1,1,1,1,1,2,36
41,18,24,1,1,1,7,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,406.5,556.7,514.2,1,120,120,120,120,120,600,2,3,4,1,1,3,3,1,5,48
43,23,48,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,395.2,488.5,436,4,0,0,0,0,0,0,4,2,2,1,1,2,4,4,5,96
35,26,40,2,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,459.6,580,491.1,1,140,80,100,120,40,480,2,5,2,2,2,2,4,1,4,80
42,24,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,517.4,592.6,537.3,1,160,160,160,160,160,800,3,5,5,1,1,3,6,1,5,34
43,23,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,439.4,493.3,452.8,1,120,120,120,120,20,500,6,5,5,3,2,1,1,1,5,34
15,14,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,8,6,7,435.1,619,583.2,1,120,120,80,80,60,460,5,5,3,2,2,1,1,4,3,32
23,6,16,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,5,6,7,596.4,600.7,567.7,1,180,200,200,180,200,960,3,5,3,1,1,1,1,1,2,32
26,16,17,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,1,8,438.7,473.4,441.6,1,140,120,100,100,60,520,4,4,3,2,2,1,1,1,2,34
23,6,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,5,2,9,504.3,465.9,532.7,1,100,100,60,80,40,380,5,5,4,2,2,1,1,1,2,32
23,6,16,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,2,9,430.4,577.7,540.9,1,140,160,160,160,140,760,5,4,2,1,1,1,1,1,2,32
